"customer_excel","rows","rank","score","customer_id","custcd","customer_name","matched_via","ctry","city","bill_to","so_orders","last_so","geo","verdict"
"Impact Auto","14","1","66.7","643","1142","Impact Automotive Product Co., Ltd.","Impact Automotive Product Co., Ltd.","TH","","Y","11","2025-03-18","","WEAK"
"Impact Auto","14","2","26.9","429","985","INTIMA (PVT) LTD.","INTIMA (PVT) LTD.","SL","","Y","1","2019-06-12","",""
"Impact Auto","14","3","20.2","176","769","stock","stock","TH","","Y","712","2026-06-17","",""
"Manufacture","12","1","86","163","756","Manufacture de Confection du Sud","Manufacture de Confection du Sud","TS","","Y","29","2023-05-08","","LIKELY"
"Manufacture","12","2","60","183","776","Mastex Co.,Ltd. (Head Office)","Mastex Co.,Ltd. (Head Office)","TH","","Y","382","2026-07-23","",""
"Manufacture","12","3","60","4","003","Mizorogi&Co.,Ltd.","Mizorogi&Co.,Ltd.","JP","","Y","15","2019-09-12","",""
"ROYAL U","11","1","66.7","3","002","Royal Universal Lace Co.,Ltd. (Head Office)","Royal Universal Lace Co.,Ltd. (Head Office)","TH","","Y","115","2026-07-20","","WEAK"
"ROYAL U","11","2","31.7","316","906","ROMA","ROMA","IR","","Y","1","2018-03-23","",""
"ROYAL U","11","3","28.5","557","1066","UNISON GLOBAL LIMITED","UNISON GLOBAL LIMITED","HK","","Y","2","2021-07-12","",""
"Quadrille Nishida","9","1","97","227","820","Quadrille Nishida Co.Ltd.","Quadrille Nishida Co.Ltd.","JP","","Y","4","2020-08-26","","AUTO"
"Quadrille Nishida","9","2","66.7","204","797","QUADRILLE VIET NAM CO. LTD","QUADRILLE VIET NAM CO. LTD","VN","","Y","1","2016-09-14","",""
"Quadrille Nishida","9","3","66.7","249","839","QUADRILLE VIET NAM CO.LTD","QUADRILLE VIET NAM CO.LTD","VN","","Y","0","","",""
"Shenzhen Fidele Garments ","9","1","97","767","1257","Shenzhen Fidele Garments Co. Ltd","Shenzhen Fidele Garments Co. Ltd","CH","ShenZhen","Y","1","2025-05-12","","AUTO"
"Shenzhen Fidele Garments ","9","2","65","593","1097","SHENZHEN CHINA SILK ENTERPRISE LIMITED","SHENZHEN CHINA SILK ENTERPRISE LIMITED","CH","Shenzhen","Y","2","2026-07-23","",""
"Shenzhen Fidele Garments ","9","3","65","594","1098","SHENZHEN CHINA SILK ENTERPRISE LTD.","SHENZHEN CHINA SILK ENTERPRISE LTD.","CH","GUANGDONG","Y","0","","",""
"Aronne Faccio","9","1","90.7","166","759","Aronne Faccio China","Aronne Faccio China","CH","","Y","30","2024-05-27","","LIKELY"
"Aronne Faccio","9","2","28.5","425","981","Hanes France SAS","Hanes France SAS","FR","","Y","26","2021-06-10","",""
"Aronne Faccio","9","3","28.5","16","015","Wacoal Europe","Wacoal Europe","UK","","Y","12","2026-08-19","",""
"ZHOUNGSHAN (ETAM)","9","1","37","367","949","ZHONGSHAN MINGLI GARMENT COMPANY LIMITED","ZHONGSHAN MINGLI GARMENT COMPANY LIMITED","CH","GUANGDONG","Y","0","","","WEAK"
"ZHOUNGSHAN (ETAM)","9","2","35.4","728","1221","ZHONGSHAN VIGOR GARMENT CO.,LTD","ZHONGSHAN VIGOR GARMENT CO.,LTD","CH","","N","0","","",""
"ZHOUNGSHAN (ETAM)","9","3","34.5","748","1238","ETAM Lingerie","ETAM Lingerie","FR","Clichy","Y","4","2025-03-18","",""
"Bodywear","7","1","97","160","753","Bodywear Co.,Ltd.","Bodywear Co.,Ltd.","TH","","Y","26","2020-01-31","","AUTO"
"Bodywear","7","2","60","303","893","BODYLINE (PVT) LTD","BODYLINE (PVT) LTD","SL","","Y","34","2021-02-24","",""
"Bodywear","7","3","60","86","085","Bodyline","Bodyline","SL","","Y","2","2015-12-09","",""
"Itochu-Triumph","7","1","70","238","828","Itochu Corporation TOKLS Branch office","Itochu Corporation TOKLS Branch office","JP","Tokyo","Y","52","2026-04-28","","REVIEW"
"Itochu-Triumph","7","2","47.6","99","098","Triumph HK","Triumph HK","HK","","Y","16","2018-02-28","",""
"Itochu-Triumph","7","3","41.1","307","897","Triumph Intertrade AG","Triumph Intertrade AG","SW","","Y","5","2020-07-10","",""
"Triumph art. 255484AA.11","6","1","70","99","098","Triumph HK","Triumph HK","HK","","Y","16","2018-02-28","","REVIEW"
"Triumph art. 255484AA.11","6","2","70","356","942","Triumph International GmbH","Triumph International GmbH","GY","","Y","7","2024-05-24","",""
"Triumph art. 255484AA.11","6","3","70","307","897","Triumph Intertrade AG","Triumph Intertrade AG","SW","","Y","5","2020-07-10","",""
"Kamcaine","6","1","89","699","1194","Dongguan Kamcaine Manufacturing Co., Ltd.","Dongguan Kamcaine Manufacturing Co., Ltd.","CH","Dongguan","N","6","2026-01-07","","LIKELY"
"Kamcaine","6","2","60","239","829","K. Noah (Asia) Company Limited","K. Noah (Asia) Company Limited","TH","","Y","23","2019-10-29","",""
"Kamcaine","6","3","60","775","1264","K.S. PERFECTION INDUSTRIES CO.,LTD. (HEAD OFFICE)","K.S. PERFECTION INDUSTRIES CO.,LTD. (HEAD OFFICE)","TH","","Y","2","2025-06-17","",""
"Ateliers","6","1","89","417","976","ATELIERS ISA","ATELIERS ISA","TS","","Y","7","2026-07-23","","LIKELY"
