Ausco	2	11	ACTIVE | ARTICLE | COMPOSITION | NAME | G/SQM | WIDTH | WIDTH | NAME | ITEM | UP | MOQ (Meter/Kg.) | GREIGE | MCQ | PFD/PFE | COLORS | PFD/PFE | COLORS | MOQ | GREIGE | MCQ | PFD/PFE | COLORS | PFD/PFE | COLORS | REMARK
Ausco	3	6	CM. | CM. | DATE | Mt/ Kg | THB/KG | (Meter) | THB/M | THB/M | THB/Yds | THB/Yds | Mt / Kg | US$/KG | (Meter) | US$/M | US$/M | US$/Yds | US$/Yds
PRESSLESS	2	20	Eschler | Customer | Composition | Full Width | Weight | Yield | Thickness | Finished | MOQ | MCQ | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE | PRICE
PRESSLESS	3	10	Article No. | Article No. | Material | Full Width | Weight | MOQ | MCQ | USD | USD | USD | USD | USD | Fob BKK | Fob BKK | Ex-work | Fob BKK | Fob BKK | Fob BKK | Fob BKK | Fob BKK | Fob BKK | Fob BKK | Fob BKK
PRESSLESS	6	3	SHET 3K 230 | S00005 | 100% PE | 230 | 300 | 1.45 | 3 | PFD | 4.11 | 3.76 | 4.13 | 3.82 | 142 | 142 | 3.82 | 142 | 142 | 142 | 142 | 142 | 142 | 142 THB | 137 THB
PRESSLESS	8	3	SHET 2K 180 | S00002 | 100% PE | 180 | 185 | 3 | 2.5 | PFD | 2.47 | 2.18 | 2.18 | 2.18 | 2.08 | 77 | 77 | 2.08 | 77 | 77 | 77 | 77 | 77 | 77 | 77 THB | 72 THB
PRESSLESS	9	3	SHET 2K 220 | S00008 | 100% PE | 220 | 185 | 2.46 | 2.4 | PFD | 2.78 | 2.68 | 87 | 87 | 87 | 87 | 87 | 87 | 87 THB | 82 THB
PRESSLESS	10	3	SHET 2K 240 | S00003 | 100% PE | 240 | 185 | 2.25 | 2.2 | PFD | 2.83 | 2.95 | 2.93 | 77 | 97 | 97 | 97 | 97 | 97 | 97 | 97 THB | 92 THB
Biga Thailand 	3	15	Date | MOQ | QTY per color | Article | COMPOSITION | WEIGHT (G/M2) | Full width | Usable width (cm.) | Yield | greige (THB/KG) | greige (USD/KG) | PFE/PFD (THB/m) | PFE/PFD (USD/m) | All Colors (THB/m) | All Colors (USD/m) | Remark | คอลัมน์ 1 | คอลัมน์ 2 | คอลัมน์ 3 | คอลัมน์ 4 | คอลัมน์ 5 | คอลัมน์ 6 | คอลัมน์ 7 | คอลัมน์ 8 | คอลัมน์ 9 | คอลัมน์ 10 | คอลัมน์ 11 | คอลัมน์ 12 | คอลัมน์ 13 | คอลัมน์ 14
Biga Thailand 	509	12	30/5/2025 | MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors | PFE/PFD | All colors
