sheet,source_row,header_row,article,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_raw,qty_min,qty_max,color_tier,currency,price,date_raw,remark,block_note
CENTER PRICE USD for internal,27,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,THB,155,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,28,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,USD,4.27,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,28,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,USD,4.93,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,28,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,THB,128,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,28,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,THB,148,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,30,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",300 m,300,,PFE/PFD,USD,4.83,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,30,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",300 m,300,,All_colors,USD,5.45,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,30,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",300 m,300,,PFE/PFD,THB,145,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,30,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",300 m,300,,All_colors,THB,163,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,31,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",700 m,700,,PFE/PFD,USD,4.50,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,31,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",700 m,700,,All_colors,USD,5.20,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,31,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",700 m,700,,PFE/PFD,THB,135,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,31,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.",700 m,700,,All_colors,THB,156,,,DATE : 4th Mar 2020
