price_id,customer,article,article_variant,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_min,qty_max,qty_unit,color_tier,price_usd,price_thb,terms,valid_from,valid_to,quote_ref,source_sheet,source_row,notes
44,CENTER,251205,,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.",2001,5000,M,All_colors,6.06666666666667,182,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,44,
45,CENTER,251208,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",200,600,M,PFE/PFD,3.73333333333333,112,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,46,
46,CENTER,251208,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",200,600,M,All_colors,4.33333333333333,130,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,46,
47,CENTER,251208,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",601,2000,M,PFE/PFD,3.36666666666667,101,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,47,
48,CENTER,251208,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",601,2000,M,All_colors,3.9,117,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,47,
49,CENTER,251208,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",2001,5000,M,PFE/PFD,3.3,99,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,48,
50,CENTER,251208,,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",2001,5000,M,All_colors,3.76666666666667,113,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,48,
51,CENTER,254509,,PA CHARMEUSE,100% PA,160 - 165 cm.,155 - 160 cm.,78 - 83 g/m2,"3,000m.",200,600,M,PFE/PFD,2.96666666666667,89,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,50,
52,CENTER,254509,,PA CHARMEUSE,100% PA,160 - 165 cm.,155 - 160 cm.,78 - 83 g/m2,"3,000m.",200,600,M,All_colors,3.56666666666667,107,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,50,
53,CENTER,254509,,PA CHARMEUSE,100% PA,160 - 165 cm.,155 - 160 cm.,78 - 83 g/m2,"3,000m.",601,2000,M,PFE/PFD,2.63333333333333,79,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,51,
54,CENTER,254509,,PA CHARMEUSE,100% PA,160 - 165 cm.,155 - 160 cm.,78 - 83 g/m2,"3,000m.",601,2000,M,All_colors,3.1,93,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,51,
55,CENTER,254509,,PA CHARMEUSE,100% PA,160 - 165 cm.,155 - 160 cm.,78 - 83 g/m2,"3,000m.",2001,5000,M,PFE/PFD,2.6,78,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,52,
56,CENTER,254509,,PA CHARMEUSE,100% PA,160 - 165 cm.,155 - 160 cm.,78 - 83 g/m2,"3,000m.",2001,5000,M,All_colors,2.96666666666667,89,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,52,
57,CENTER,254553,,PA TULLE,100%PA,145 - 150 cm.,140 - 145 cm.,30 - 35 g/m2,"3,000m.",200,600,M,PFE/PFD,2.3,69,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,54,
58,CENTER,254553,,PA TULLE,100%PA,145 - 150 cm.,140 - 145 cm.,30 - 35 g/m2,"3,000m.",200,600,M,All_colors,2.96666666666667,89,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,54,
59,CENTER,254553,,PA TULLE,100%PA,145 - 150 cm.,140 - 145 cm.,30 - 35 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.96666666666667,59,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,55,
60,CENTER,254553,,PA TULLE,100%PA,145 - 150 cm.,140 - 145 cm.,30 - 35 g/m2,"3,000m.",601,2000,M,All_colors,2.46666666666667,74,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,55,
61,CENTER,254553,,PA TULLE,100%PA,145 - 150 cm.,140 - 145 cm.,30 - 35 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.9,57,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,56,
62,CENTER,254553,,PA TULLE,100%PA,145 - 150 cm.,140 - 145 cm.,30 - 35 g/m2,"3,000m.",2001,5000,M,All_colors,2.3,69,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,56,
63,CENTER,254580,,PA TULLE,100%PA,150 - 155cm,145 - 150 cm.,30 - 35 g/m2,"3,000m.",200,600,M,PFE/PFD,1.65,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,58,
64,CENTER,254580,,PA TULLE,100%PA,150 - 155cm,145 - 150 cm.,30 - 35 g/m2,"3,000m.",200,600,M,All_colors,2.8,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,58,
65,CENTER,254580,,PA TULLE,100%PA,150 - 155cm,145 - 150 cm.,30 - 35 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.45,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,59,
66,CENTER,254580,,PA TULLE,100%PA,150 - 155cm,145 - 150 cm.,30 - 35 g/m2,"3,000m.",601,2000,M,All_colors,2.1,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,59,
67,CENTER,254580,,PA TULLE,100%PA,150 - 155cm,145 - 150 cm.,30 - 35 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.35,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,60,
68,CENTER,254580,,PA TULLE,100%PA,150 - 155cm,145 - 150 cm.,30 - 35 g/m2,"3,000m.",2001,5000,M,All_colors,2.05,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,60,
69,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",200,600,M,PFE/PFD,1.35,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,62,
70,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",200,600,M,All_colors,2.5,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,62,
71,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.15,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,63,
72,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",601,2000,M,All_colors,1.8,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,63,
73,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",2001,4999,M,PFE/PFD,1.05,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,64,
74,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",2001,4999,M,All_colors,1.75,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,64,
75,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",5000,9999,M,PFE/PFD,0.95,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,65,
76,CENTER,254555,,PES TULLE,100%PES,157 - 162 cm.,152 - 157 cm.,30 - 35 g/m2,"3,000m.",10000,,M,PFE/PFD,0.9,,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,66,
77,CENTER,254559,,PA TULLE MICRO-TOUCH,100% PA,165 - 170 cm.,160 - 165 cm.,20 - 25 g/m2,"3,000m.",200,600,M,PFE/PFD,2.26666666666667,68,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,68,
78,CENTER,254559,,PA TULLE MICRO-TOUCH,100% PA,165 - 170 cm.,160 - 165 cm.,20 - 25 g/m2,"3,000m.",200,600,M,All_colors,2.9,87,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,68,
79,CENTER,254559,,PA TULLE MICRO-TOUCH,100% PA,165 - 170 cm.,160 - 165 cm.,20 - 25 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.93333333333333,58,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,69,
80,CENTER,254559,,PA TULLE MICRO-TOUCH,100% PA,165 - 170 cm.,160 - 165 cm.,20 - 25 g/m2,"3,000m.",601,2000,M,All_colors,2.43333333333333,73,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,69,
81,CENTER,254559,,PA TULLE MICRO-TOUCH,100% PA,165 - 170 cm.,160 - 165 cm.,20 - 25 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.86666666666667,56,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,70,
82,CENTER,254559,,PA TULLE MICRO-TOUCH,100% PA,165 - 170 cm.,160 - 165 cm.,20 - 25 g/m2,"3,000m.",2001,5000,M,All_colors,2.26666666666667,68,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,70,
83,CENTER,254582,,PA TULLE,100 % PA,157 - 162 cm.,152 - 157 cm.,18 - 23 g/m2,"3,000m.",200,600,M,PFE/PFD,2,60,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,72,
84,CENTER,254582,,PA TULLE,100 % PA,157 - 162 cm.,152 - 157 cm.,18 - 23 g/m2,"3,000m.",200,600,M,All_colors,2.66666666666667,80,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,72,
85,CENTER,254582,,PA TULLE,100 % PA,157 - 162 cm.,152 - 157 cm.,18 - 23 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.66666666666667,50,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,73,
86,CENTER,254582,,PA TULLE,100 % PA,157 - 162 cm.,152 - 157 cm.,18 - 23 g/m2,"3,000m.",601,2000,M,All_colors,2.16666666666667,65,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,73,
87,CENTER,254582,,PA TULLE,100 % PA,157 - 162 cm.,152 - 157 cm.,18 - 23 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.56666666666667,47,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,74,
88,CENTER,254582,,PA TULLE,100 % PA,157 - 162 cm.,152 - 157 cm.,18 - 23 g/m2,"3,000m.",2001,5000,M,All_colors,2,60,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,74,
89,CENTER,254588,,PES TULLE ALPHA,100% PES,148 - 153 cm.,143 - 148 cm.,20 - 25 g/m2,"3,000m.",200,600,M,PFE/PFD,1.83333333333333,55,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,76,
90,CENTER,254588,,PES TULLE ALPHA,100% PES,148 - 153 cm.,143 - 148 cm.,20 - 25 g/m2,"3,000m.",200,600,M,All_colors,2.66666666666667,80,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,76,
91,CENTER,254588,,PES TULLE ALPHA,100% PES,148 - 153 cm.,143 - 148 cm.,20 - 25 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.5,45,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,77,
92,CENTER,254588,,PES TULLE ALPHA,100% PES,148 - 153 cm.,143 - 148 cm.,20 - 25 g/m2,"3,000m.",601,2000,M,All_colors,2.16666666666667,65,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,77,
93,CENTER,254588,,PES TULLE ALPHA,100% PES,148 - 153 cm.,143 - 148 cm.,20 - 25 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.43333333333333,43,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,78,
94,CENTER,254588,,PES TULLE ALPHA,100% PES,148 - 153 cm.,143 - 148 cm.,20 - 25 g/m2,"3,000m.",2001,5000,M,All_colors,2,60,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,78,
95,CENTER,254615,,PA TULLE SH,100% PA,138 - 143 cm.,133 - 138 cm.,40 - 45 g/m2,"3,000m.",200,600,M,PFE/PFD,2.56666666666667,77,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,80,
96,CENTER,254615,,PA TULLE SH,100% PA,138 - 143 cm.,133 - 138 cm.,40 - 45 g/m2,"3,000m.",200,600,M,All_colors,3.23333333333333,97,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,80,
97,CENTER,254615,,PA TULLE SH,100% PA,138 - 143 cm.,133 - 138 cm.,40 - 45 g/m2,"3,000m.",601,2000,M,PFE/PFD,2.2,66,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,81,
98,CENTER,254615,,PA TULLE SH,100% PA,138 - 143 cm.,133 - 138 cm.,40 - 45 g/m2,"3,000m.",601,2000,M,All_colors,2.73333333333333,82,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,81,
99,CENTER,254615,,PA TULLE SH,100% PA,138 - 143 cm.,133 - 138 cm.,40 - 45 g/m2,"3,000m.",2001,5000,M,PFE/PFD,2.16666666666667,65,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,82,
100,CENTER,254615,,PA TULLE SH,100% PA,138 - 143 cm.,133 - 138 cm.,40 - 45 g/m2,"3,000m.",2001,5000,M,All_colors,2.53333333333333,76,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,82,
101,CENTER,254622,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,45 - 50 g/m2,"3,000m.",200,600,M,PFE/PFD,1.83333333333333,55,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,84,
102,CENTER,254622,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,45 - 50 g/m2,"3,000m.",200,600,M,All_colors,2.5,75,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,84,
103,CENTER,254622,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,45 - 50 g/m2,"3,000m.",601,2000,M,PFE/PFD,1.5,45,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,85,
104,CENTER,254622,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,45 - 50 g/m2,"3,000m.",601,2000,M,All_colors,1.66666666666667,50,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,85,
105,CENTER,254622,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,45 - 50 g/m2,"3,000m.",2001,5000,M,PFE/PFD,1.33333333333333,40,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,86,
106,CENTER,254622,,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,45 - 50 g/m2,"3,000m.",2001,5000,M,All_colors,1.6,48,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,86,
107,CENTER,254701,,CO/PES TULLE 451/130/2,"70% PES, 30% CO",143 - 148 cm.,138 - 143 cm.,35 - 40 g/m2,"3,000m.",200,600,M,PFE/PFD,3.43333333333333,103,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,88,
108,CENTER,254701,,CO/PES TULLE 451/130/2,"70% PES, 30% CO",143 - 148 cm.,138 - 143 cm.,35 - 40 g/m2,"3,000m.",200,600,M,All_colors,4.33333333333333,130,FOB Bangkok,,,Center price sheet,CENTER PRICE USD for internal,88,
